reward,avg_latency_s,energy_seu,deadline_miss_rate,completed_tasks,total_tasks,method,seed,episode
-293.9030119920677,0.2250996015936255,33237.609171129836,0.00099601593625498,3012,3047,Zhao et al. (MARL-ABC),0,0
-208.19335161783587,0.21790017211703958,33212.92161492446,0.0,2905,2930,Zhao et al. (MARL-ABC),0,1
-215.00119040079406,0.2407469156385462,33242.012126796624,0.00033344448149383126,2999,3022,Zhao et al. (MARL-ABC),0,2
-244.18769828250203,0.23558981233243967,33240.52379370205,0.0,2984,3015,Zhao et al. (MARL-ABC),0,3
-265.37479836373893,0.323943661971831,33334.05218690755,0.00032754667540124465,3053,3077,Zhao et al. (MARL-ABC),0,4
-291.8387382459771,0.3330106485963214,33345.99431696083,0.0016134236850596966,3099,3134,Zhao et al. (MARL-ABC),0,5
-281.4490898592829,0.366869918699187,33354.77929690083,0.0016937669376693768,2952,2981,Zhao et al. (MARL-ABC),0,6
-232.0435257096601,0.28884462151394424,33291.91003915247,0.0006640106241699867,3012,3038,Zhao et al. (MARL-ABC),0,7
-269.6534981757945,0.24501718213058418,33248.75614920974,0.0,2910,2940,Zhao et al. (MARL-ABC),0,8
-356.9158037011029,0.27671232876712326,33264.402841789066,0.0006849315068493151,2920,2960,Zhao et al. (MARL-ABC),0,9
-228.49371457325228,0.40773809523809523,33393.58818242695,0.0016534391534391533,3024,3043,Zhao et al. (MARL-ABC),1,0
-227.5026713388266,0.2742587601078167,33276.27638889579,0.0016846361185983828,2968,2994,Zhao et al. (MARL-ABC),1,1
-225.7631839276771,0.2092944369063772,33212.01898057522,0.0,2948,2976,Zhao et al. (MARL-ABC),1,2
-205.6884408457668,0.28078327248589446,33257.39468281992,0.00033189512114171923,3013,3039,Zhao et al. (MARL-ABC),1,3
-227.84973619932302,0.22572091481604242,33207.186254346794,0.0,3017,3050,Zhao et al. (MARL-ABC),1,4
-229.0423082746395,0.2988505747126437,33273.20594286804,0.0,2958,2995,Zhao et al. (MARL-ABC),1,5
-180.2065490123481,0.37350199733688416,33340.68895346694,0.0,3004,3033,Zhao et al. (MARL-ABC),1,6
-165.31990691960146,0.25397923875432526,33218.258353999416,0.0010380622837370243,2890,2913,Zhao et al. (MARL-ABC),1,7
-249.8324527638723,0.3151178010471204,33302.85732850205,0.0003272251308900524,3056,3079,Zhao et al. (MARL-ABC),1,8
-266.8812065819377,0.26721763085399447,33245.51712110269,0.0006887052341597796,2904,2932,Zhao et al. (MARL-ABC),1,9
-286.17128893896364,0.3698676620291822,33363.25804288022,0.0,2947,2980,Zhao et al. (MARL-ABC),2,0
-304.3466535371407,0.4590784044016506,33427.52331114387,0.000343878954607978,2908,2935,Zhao et al. (MARL-ABC),2,1
-284.9716647174169,0.43716216216216214,33408.30784509669,0.0006756756756756757,2960,2986,Zhao et al. (MARL-ABC),2,2
-348.10389038718284,0.43805309734513276,33413.74979721673,0.0006807351940095302,2938,2978,Zhao et al. (MARL-ABC),2,3
-241.67428157674658,0.4584307178631052,33416.67346813346,0.001669449081803005,2995,3021,Zhao et al. (MARL-ABC),2,4
-264.14612541657715,0.3515519568151147,33297.83383868583,0.0,2964,2999,Zhao et al. (MARL-ABC),2,5
-227.35252369394877,0.3437712729748128,33304.41951543371,0.0003403675970047651,2938,2963,Zhao et al. (MARL-ABC),2,6
-219.86791255027643,0.3113438045375218,33279.45942718252,0.00034904013961605586,2865,2891,Zhao et al. (MARL-ABC),2,7
-226.35071303413983,0.35929993136582017,33311.793259956736,0.0,2914,2948,Zhao et al. (MARL-ABC),2,8
-227.21711221120194,0.3930232558139535,33349.67365515945,0.0,3010,3042,Zhao et al. (MARL-ABC),2,9
-215.91154683820898,0.32323232323232326,33299.94835910743,0.0,2970,2996,Zhao et al. (MARL-ABC),3,0
-230.70920964420802,0.3325526932084309,33318.87899211578,0.0006691201070592171,2989,3021,Zhao et al. (MARL-ABC),3,1
-176.19040802258567,0.3391869918699187,33337.89414541332,0.000975609756097561,3075,3101,Zhao et al. (MARL-ABC),3,2
-250.42164338060465,0.30812232818151924,33309.298467034976,0.0003288391976323578,3041,3073,Zhao et al. (MARL-ABC),3,3
-225.94209429883597,0.25160853369454794,33232.64762345631,0.0,2953,2984,Zhao et al. (MARL-ABC),3,4
-290.0015303539195,0.288695652173913,33241.99849517657,0.0,2875,2911,Zhao et al. (MARL-ABC),3,5
-322.4237714896921,0.25928426738690075,33233.698937317255,0.0,2962,2998,Zhao et al. (MARL-ABC),3,6
-284.0165788411378,0.2932922655715264,33258.065728312366,0.001026694045174538,2922,2948,Zhao et al. (MARL-ABC),3,7
-259.93782645438415,0.31971153846153844,33260.37593428069,0.0006868131868131869,2912,2946,Zhao et al. (MARL-ABC),3,8
-233.43025475196202,0.3218274111675127,33266.982896211295,0.0,2955,2985,Zhao et al. (MARL-ABC),3,9
-217.99166689320307,0.345772787318362,33333.881824917946,0.00033025099075297226,3028,3047,Zhao et al. (MARL-ABC),4,0
-279.368401699284,0.35323716873532374,33322.12649166711,0.0003354579000335458,2981,3015,Zhao et al. (MARL-ABC),4,1
-238.97332519605538,0.4145854145854146,33384.18347630219,0.002331002331002331,3003,3027,Zhao et al. (MARL-ABC),4,2
-242.0788523480106,0.4677366524729774,33429.35364889177,0.0013101867016049786,3053,3086,Zhao et al. (MARL-ABC),4,3
-148.31641266669197,0.4396053079278666,33378.37146050168,0.0,2939,2964,Zhao et al. (MARL-ABC),4,4
-156.17323972448935,0.3585225347339885,33317.2442425062,0.00033886818027787193,2951,2977,Zhao et al. (MARL-ABC),4,5
-188.73061345834898,0.30563186813186816,33263.08286126078,0.0010302197802197802,2912,2939,Zhao et al. (MARL-ABC),4,6
-226.44302414887667,0.32894292468760555,33286.314132839005,0.00033772374197906115,2961,2989,Zhao et al. (MARL-ABC),4,7
-234.66747113206875,0.28094101602454824,33255.558560483754,0.00034094783498124785,2933,2956,Zhao et al. (MARL-ABC),4,8
-323.94518368117144,0.28175675675675677,33259.631664592496,0.00033783783783783786,2960,2984,Zhao et al. (MARL-ABC),4,9
-189.1658703054722,0.19214119214119213,33182.26565274289,0.0,3003,3029,Zhao et al. (MARL-ABC),5,0
-274.75048714073563,0.22526173590003376,33211.27468155713,0.0,2961,2992,Zhao et al. (MARL-ABC),5,1
-273.96371391472286,0.3471983499484359,33309.15372500139,0.0006875214850464077,2909,2937,Zhao et al. (MARL-ABC),5,2
-310.8673153422872,0.44019138755980863,33385.2868353328,0.0,2926,2957,Zhao et al. (MARL-ABC),5,3
-345.5446134187685,0.41779689050611973,33381.27015743342,0.0009923916639100231,3023,3061,Zhao et al. (MARL-ABC),5,4
-254.6123919891838,0.3639705882352941,33324.56184533188,0.001002673796791444,2992,3019,Zhao et al. (MARL-ABC),5,5
-216.95870528646296,0.28357701462087725,33238.28233381352,0.00034002040122407346,2941,2970,Zhao et al. (MARL-ABC),5,6
-245.53868588257242,0.28436974789915964,33264.4553817382,0.0003361344537815126,2975,3002,Zhao et al. (MARL-ABC),5,7
-233.81513216890644,0.27671691792294806,33257.512949416414,0.00033500837520938025,2985,3007,Zhao et al. (MARL-ABC),5,8
-207.53194988071104,0.2903335602450647,33258.34277455802,0.0,2938,2960,Zhao et al. (MARL-ABC),5,9
-262.8837778421442,0.19297658862876255,33182.11821893218,0.0,2990,3019,Zhao et al. (MARL-ABC),6,0
-263.8530275077032,0.26404109589041097,33246.75007834383,0.0,2920,2949,Zhao et al. (MARL-ABC),6,1
