scenario,seed,reward,avg_latency_s,energy_seu,deadline_miss_rate,completed_tasks,total_tasks,cloud_action_share
low,0,26.707332148853357,0.012616566099835436,33006.54239713652,0.0,1823,1823,0.9989444444444444
low,1,25.40217263438928,0.012607449856733524,33007.93793185585,0.0,1745,1745,0.9988888888888889
low,2,26.814928214290674,0.01098901098901099,33006.369628104076,0.0,1820,1819,0.9988888888888889
low,3,21.592398314422447,0.00989010989010989,33006.899165035786,0.0,1820,1820,0.9988888888888889
low,4,22.408395102623412,0.017905588714053174,33010.238735177925,0.0,1843,1841,0.9988333333333334
low,5,17.02853714928109,0.016902944383860415,33008.3392070794,0.0,1834,1835,0.9988055555555555
low,6,25.217818430264384,0.013135351227869789,33008.225184908115,0.0,1751,1751,0.9988055555555555
low,7,26.63469458384716,0.012609649122807017,33006.50054308672,0.0,1824,1824,0.9989722222222223
low,8,20.85062595960212,0.011019283746556474,33007.440470924084,0.0,1815,1816,0.9988055555555555
low,9,21.358027556767794,0.01107419712070875,33006.87834430562,0.0,1806,1805,0.999
normal,0,43.461401350596354,0.026402640264026403,33022.641226608335,0.0,3030,3030,0.9983055555555556
normal,1,43.97564312212598,0.0165892501658925,33017.90113952025,0.0,3014,3014,0.9984722222222222
normal,2,43.64718938430724,0.01837270341207349,33018.37852303527,0.0,3048,3047,0.9985555555555555
normal,3,38.024113122528604,0.018754186202277295,33018.32746233432,0.0,2986,2986,0.9985
normal,4,39.354933849209054,0.023940472339048852,33020.64166707802,0.0,3091,3089,0.9982777777777778
normal,5,33.2025176535381,0.018768521567336188,33017.43264443054,0.0,3037,3038,0.99875
normal,6,37.7538273457427,0.0178752107925801,33016.10779681453,0.0,2965,2966,0.9985833333333334
normal,7,44.581353032974064,0.02356020942408377,33020.22348429106,0.0,3056,3056,0.99825
normal,8,37.54483648231103,0.015889114266396213,33015.315070419485,0.0,2958,2959,0.9986111111111111
normal,9,43.055169669630246,0.024749163879598662,33022.24370290528,0.0,2990,2988,0.9986111111111111
burst,0,58.55616550395047,0.0429656274980016,33064.44118120427,0.0,5004,5006,0.9964166666666666
burst,1,70.20220746010307,0.04165059776320864,33067.64013883191,0.0001928268414963363,5186,5186,0.9963611111111111
burst,2,67.88153950004777,0.045072115384615384,33066.83590895165,0.0,4992,4991,0.9967222222222222
burst,3,58.491504654709075,0.045700541190619365,33067.352301641375,0.0,4989,4990,0.9959722222222223
burst,4,59.32419508279697,0.042070569988367584,33067.98077874068,0.0,5158,5157,0.9965
burst,5,48.88401317760745,0.04475247524752475,33067.49398769357,0.0,5050,5053,0.9964166666666666
burst,6,49.5936052327942,0.04532967032967033,33071.12832392017,0.0,5096,5100,0.9960833333333333
burst,7,64.70845957751101,0.0511106742677413,33074.754032220604,0.0,5087,5088,0.9958888888888889
burst,8,46.78535907059287,0.045675020210185935,33068.52069102595,0.0,4948,4952,0.9955555555555555
burst,9,54.452509804413204,0.04538341158059468,33068.810706675526,0.0,5112,5113,0.9959444444444444
ramp,0,47.31151027307677,0.023206106870229008,33022.86376933544,0.0,3275,3275,0.99825
ramp,1,48.673522514406294,0.022465267514040793,33024.042153764705,0.0,3383,3383,0.9983055555555556
ramp,2,47.7717290199627,0.02538370720188902,33025.37239483644,0.0,3388,3387,0.9982222222222222
ramp,3,42.69511323600632,0.025903614457831327,33028.08074267765,0.0,3320,3321,0.9980277777777777
ramp,4,43.52536579242699,0.020570085218924478,33019.45871527782,0.0,3403,3401,0.9983611111111111
ramp,5,38.70647644554097,0.024582967515364356,33027.22580101105,0.0,3417,3418,0.9980833333333333
ramp,6,45.78688259064254,0.027363940407418668,33028.12762212051,0.0,3289,3289,0.998
ramp,7,47.59617920881493,0.022296884544899205,33021.251731684635,0.0,3274,3274,0.9981666666666666
ramp,8,42.29403310415755,0.016756433273488927,33020.51360557027,0.0,3342,3343,0.9983611111111111
ramp,9,42.10558170831471,0.0215311004784689,33024.92254771802,0.0,3344,3343,0.9979166666666667
spikes,0,48.528927472750716,0.031059506531204643,33029.92988201302,0.0,3445,3445,0.9983888888888889
spikes,1,50.11621747095663,0.02981715893108298,33034.105149997784,0.0,3555,3555,0.9975555555555555
spikes,2,48.51651036610813,0.03134068485200232,33033.00763927868,0.0,3446,3445,0.9980833333333333
spikes,3,42.97078262751496,0.033372711163614885,33031.39685147692,0.0,3386,3386,0.9979444444444444
spikes,4,44.79796729975507,0.030466970387243737,33031.67366025003,0.0,3512,3510,0.9981111111111111
spikes,5,39.28150383083373,0.040601930721181144,33043.579609131244,0.0,3522,3523,0.9971666666666666
spikes,6,44.29668348412227,0.030087993187624184,33032.29874369811,0.0,3523,3524,0.9981388888888889
spikes,7,50.65273808984159,0.035166061959252023,33036.496747746874,0.0,3583,3583,0.9976944444444444
spikes,8,38.05927630337744,0.03554641598119859,33034.43574293389,0.0,3404,3406,0.9977777777777778
spikes,9,49.76299394882002,0.026866515837104074,33031.51655123113,0.0,3536,3534,0.9979444444444444
