method,seed,episode,reward,avg_latency_s,energy_seu,deadline_miss_rate,completed_tasks,total_tasks,rejected_tasks,completion_ratio,decision_ms,offload_msgs_per_step,cloud_msgs_per_step
D-MAPPO-ABC,0,0,42.94937743085318,0.022036727879799666,33018.59868114442,0.0,2995,2994,0,1.0003340013360054,0.0545640778533804,0.0008333333333333334,9.985277777777778
D-MAPPO-ABC,0,1,43.47313675693952,0.02127659574468085,33019.706260597864,0.0,3008,3008,0,1.0,0.11389179951058598,0.0011111111111111111,9.983888888888888
D-MAPPO-ABC,0,2,43.85102816380816,0.02171008684034736,33020.427058441426,0.0,2994,2994,0,1.0,0.11764859532316525,0.0011111111111111111,9.981666666666667
D-MAPPO-ABC,0,3,39.59922166839677,0.027210884353741496,33020.434808315855,0.0,3087,3087,1,1.0,0.11899623780724748,0.0011111111111111111,9.982222222222223
D-MAPPO-ABC,0,4,40.936616130065495,0.021557719054242003,33018.75006546676,0.0,2876,2875,0,1.0003478260869565,0.10593848453168499,0.0008333333333333334,9.983333333333333
D-MAPPO-ABC,0,5,38.46730435299186,0.021269524759056163,33018.077497313454,0.0,3009,3009,1,1.0,0.10580156867864489,0.0011111111111111111,9.984722222222222
D-MAPPO-ABC,0,6,41.407066154571815,0.017229254571026722,33014.84460043201,0.0,2844,2844,0,1.0,0.11749429628252983,0.0011111111111111111,9.986666666666666
D-MAPPO-ABC,0,7,41.905468217410366,0.015120274914089347,33016.55345847316,0.0,2910,2909,0,1.0003437607425232,0.11386463255783179,0.0008333333333333334,9.98638888888889
D-MAPPO-ABC,0,8,33.453699797596336,0.021220159151193633,33019.4175641586,0.0,3016,3017,2,0.9996685449121644,0.10138628686965807,0.0011111111111111111,9.983611111111111
D-MAPPO-ABC,0,9,37.93350479266868,0.021290533901080905,33020.45813575221,0.0,3053,3053,1,1.0,0.11250203253520237,0.0008333333333333334,9.98611111111111
D-MAPPO-ABC,1,0,43.505789258140865,0.03057199211045365,33024.91652429003,0.0,3042,3042,0,1.0,0.11900216603276527,0.0011111111111111111,9.980277777777777
D-MAPPO-ABC,1,1,42.88181138129821,0.020930232558139535,33019.27537180808,0.0,3010,3010,0,1.0,0.10128028622097594,0.0011111111111111111,9.983055555555556
D-MAPPO-ABC,1,2,36.919389799119706,0.025210084033613446,33022.36584330136,0.0,2975,2974,1,1.0003362474781439,0.11866080720372137,0.0008333333333333334,9.984166666666667
D-MAPPO-ABC,1,3,31.8142348482096,0.026449643947100712,33021.14729903443,0.0,2949,2949,2,1.0,0.1199867735801187,0.0008333333333333334,9.985
D-MAPPO-ABC,1,4,33.29604523517456,0.02080581241743725,33018.97267686728,0.0,3028,3027,2,1.0003303600925009,0.11646692682148164,0.0011111111111111111,9.9825
D-MAPPO-ABC,1,5,37.705742255145175,0.02011397921555481,33019.37312913965,0.0,2983,2980,1,1.001006711409396,0.09503078119208415,0.001388888888888889,9.984166666666667
D-MAPPO-ABC,1,6,33.856616487556224,0.020655737704918034,33018.59744058309,0.0,3050,3051,2,0.9996722386102918,0.10064393113296119,0.0011111111111111111,9.984722222222222
D-MAPPO-ABC,1,7,38.52306728290978,0.018682399213372666,33019.859125940566,0.0,3051,3051,1,1.0,0.11827643688270151,0.001388888888888889,9.985
D-MAPPO-ABC,1,8,37.486025827951444,0.02663597500822098,33023.82635657603,0.0,3041,3040,1,1.0003289473684212,0.09170594949197644,0.0011111111111111111,9.980555555555556
D-MAPPO-ABC,1,9,44.44831921738125,0.020621931260229133,33019.388355800955,0.0,3055,3055,0,1.0,0.08031325483979243,0.0011111111111111111,9.985833333333334
D-MAPPO-ABC,2,0,41.79644597386874,0.018823529411764704,33018.792423264014,0.0,2975,2975,0,1.0,0.11331398013539405,0.0011111111111111111,9.984722222222222
D-MAPPO-ABC,2,1,36.62901020619521,0.019350380096751902,33018.18417654129,0.0,2894,2895,1,0.9996545768566494,0.11624254901026788,0.0011111111111111111,9.983888888888888
D-MAPPO-ABC,2,2,33.153546113453515,0.020757825370675453,33017.09278737515,0.0,3035,3036,2,0.9996706192358367,0.10396104398306408,0.0011111111111111111,9.983333333333333
D-MAPPO-ABC,2,3,43.64650425902448,0.025056947608200455,33022.2011199117,0.0,3073,3073,0,1.0,0.11842850533301114,0.0011111111111111111,9.982777777777779
D-MAPPO-ABC,2,4,41.95753132914181,0.022229595222295954,33021.101933536695,0.0,3014,3014,0,1.0,0.1139196134883807,0.0011111111111111111,9.985277777777778
D-MAPPO-ABC,2,5,29.131122282640472,0.019916479280436876,33020.152331192534,0.0,3113,3115,3,0.9993579454253612,0.10240621255232123,0.0011111111111111111,9.984166666666667
D-MAPPO-ABC,2,6,43.5444558395016,0.02903225806451613,33025.80445389849,0.0,3100,3099,0,1.000322684737012,0.11550273071689945,0.0011111111111111111,9.980555555555556
D-MAPPO-ABC,2,7,42.217229475058915,0.022533287811539775,33019.64528545339,0.0,2929,2929,0,1.0,0.10100481784482125,0.0011111111111111111,9.983055555555556
D-MAPPO-ABC,2,8,41.87215726958405,0.02096719648292188,33018.355780944716,0.0,2957,2957,0,1.0,0.11653492103990477,0.0011111111111111111,9.984722222222222
D-MAPPO-ABC,2,9,38.495736441535044,0.02320335159523042,33022.89172026002,0.0,3103,3104,1,0.9996778350515464,0.11382112783677358,0.0011111111111111111,9.979722222222222
D-MAPPO-ABC,3,0,33.4009755535645,0.027266754270696452,33024.176088088556,0.0,3044,3045,2,0.999671592775041,0.11813203999028904,0.0011111111111111111,9.980555555555556
D-MAPPO-ABC,3,1,43.52341073341819,0.021630615640599003,33019.143955125066,0.0,3005,3005,0,1.0,0.11093868387171014,0.001388888888888889,9.983611111111111
D-MAPPO-ABC,3,2,37.759370268540906,0.027081922816519974,33023.180553086066,0.0,2954,2954,1,1.0,0.11443524987973636,0.001388888888888889,9.981666666666667
D-MAPPO-ABC,3,3,38.03791839993701,0.01952204644900707,33017.13111085946,0.0,2971,2972,1,0.9996635262449529,0.10722030935317485,0.0011111111111111111,9.985833333333334
D-MAPPO-ABC,3,4,33.567922106788714,0.023171135385633895,33020.480582069526,0.0,3021,3023,2,0.9993384055573933,0.11682916269799333,0.0011111111111111111,9.986944444444445
D-MAPPO-ABC,3,5,27.29781917342665,0.025477707006369428,33023.315186295375,0.0,2983,2984,3,0.9996648793565683,0.10405479597749137,0.0011111111111111111,9.97888888888889
D-MAPPO-ABC,3,6,42.34538947286051,0.022460610124036204,33020.66106396134,0.0,2983,2983,0,1.0,0.10854964102327357,0.0011111111111111111,9.980833333333333
D-MAPPO-ABC,3,7,34.43298215697475,0.03443794671864847,33028.248133747475,0.0,3078,3078,2,1.0,0.10624071744516389,0.0011111111111111111,9.97888888888889
D-MAPPO-ABC,3,8,32.95828817109174,0.018606224627875506,33017.161309026626,0.0,2956,2957,2,0.9996618194115657,0.10970290165278129,0.0011111111111111111,9.983611111111111
D-MAPPO-ABC,3,9,42.122380149118285,0.02584155049302958,33020.92201581157,0.0,2941,2940,0,1.0003401360544217,0.08710912606491344,0.0011111111111111111,9.982222222222223
D-MAPPO-ABC,4,0,39.03404458999481,0.017218973359324236,33016.658461590785,0.0,3078,3079,1,0.9996752192270217,0.08824012962092337,0.0011111111111111111,9.984166666666667
D-MAPPO-ABC,4,1,38.55921064630582,0.01818181818181818,33017.235814519394,0.0,3025,3026,1,0.9996695307336417,0.056600564295270786,0.0011111111111111111,9.983611111111111
D-MAPPO-ABC,4,2,36.78195901299144,0.019328585961342827,33019.255914442445,0.0,2949,2949,1,1.0,0.049685652484185994,0.0011111111111111111,9.985277777777778
D-MAPPO-ABC,4,3,43.288274878402696,0.017707985299031073,33015.92668734865,0.0,2993,2991,0,1.000668672684721,0.07491792254020561,0.0008333333333333334,9.985
D-MAPPO-ABC,4,4,27.312594760479584,0.02331868874619804,33021.42814459598,0.0,2959,2960,3,0.9996621621621622,0.06979817184199218,0.0008333333333333334,9.982777777777779
D-MAPPO-ABC,4,5,37.89683997658823,0.023386034255599472,33021.68566780927,0.0,3036,3036,1,1.0,0.06447357974765408,0.0011111111111111111,9.981388888888889
D-MAPPO-ABC,4,6,42.32953825056065,0.018848872433524066,33018.8623353594,0.0,2971,2969,0,1.0006736274840013,0.07928206087187088,0.0005555555555555556,9.98638888888889
D-MAPPO-ABC,4,7,32.24572224607536,0.013004791238877482,33014.55779327102,0.0,2922,2922,2,1.0,0.09685877402888664,0.0011111111111111111,9.985555555555555
D-MAPPO-ABC,4,8,41.821707840643484,0.015625,33017.20968373285,0.0,2944,2944,0,1.0,0.0896860524371732,0.0011111111111111111,9.985277777777778
D-MAPPO-ABC,4,9,38.924494394170026,0.022099447513812154,33022.92551641399,0.0,3077,3075,1,1.0006504065040651,0.10858960809612958,0.0011111111111111111,9.981666666666667
D-MAPPO-ABC,5,0,40.101254112952475,0.016123831022250887,33017.27683568413,0.0,3101,3101,1,1.0,0.08886308270383678,0.001388888888888889,9.98638888888889
D-MAPPO-ABC,5,1,37.257797845181635,0.01903807615230461,33019.50447405895,0.0,2994,2995,1,0.9996661101836394,0.10685064654454537,0.0011111111111111111,9.984444444444444
D-MAPPO-ABC,5,2,36.94319664330728,0.02102407595795185,33019.297364764694,0.0,2949,2950,1,0.9996610169491525,0.11345821431152418,0.0011111111111111111,9.985555555555555
D-MAPPO-ABC,5,3,43.61489177111656,0.025049439683586024,33020.05874915009,0.0,3034,3033,0,1.0003297065611605,0.1041238229825265,0.0008333333333333334,9.984444444444444
D-MAPPO-ABC,5,4,43.593632802153955,0.022083058668424523,33018.661217424225,0.0,3034,3034,0,1.0,0.10214705155037035,0.0011111111111111111,9.985
D-MAPPO-ABC,5,5,38.28278400766426,0.022370617696160267,33021.4793533319,0.0,2995,2994,1,1.0003340013360054,0.10411363867913476,0.0008333333333333334,9.983055555555556
D-MAPPO-ABC,5,6,41.573253412488164,0.024154589371980676,33020.33331443087,0.0,2898,2898,0,1.0,0.11080345178682667,0.0011111111111111111,9.982777777777779
D-MAPPO-ABC,5,7,44.454058713581446,0.021639344262295083,33017.751059619965,0.0,3050,3050,0,1.0,0.08949110994904509,0.0011111111111111111,9.983055555555556
D-MAPPO-ABC,5,8,41.54708141019631,0.01825068870523416,33018.31611255723,0.0,2904,2904,0,1.0,0.12432880264532287,0.0011111111111111111,9.983055555555556
D-MAPPO-ABC,5,9,39.043495341313125,0.01727509778357236,33016.98745667953,0.0,3068,3069,1,0.9996741609644836,0.12521906285514384,0.0011111111111111111,9.984444444444444
D-MAPPO-ABC,6,0,34.02645280463635,0.020078999341672153,33017.07156292544,0.0,3038,3039,2,0.9996709443896018,0.12411827098468266,0.0011111111111111111,9.988333333333333
D-MAPPO-ABC,6,1,32.00617886924135,0.016792323509252912,33016.012684056856,0.0,2918,2920,2,0.9993150684931507,0.08575305598787963,0.0011111111111111111,9.98638888888889
D-MAPPO-ABC,6,2,36.318383401053566,0.01928374655647383,33017.338430889475,0.0,2904,2904,1,1.0,0.11221782768390968,0.0008333333333333334,9.98611111111111
D-MAPPO-ABC,6,3,30.946683030577727,0.02364394993045897,33018.51270817594,0.0,2876,2877,2,0.9996524157108099,0.11012408671215074,0.0011111111111111111,9.98611111111111
