method,n_episodes,reward_mean,reward_std,latency_ms_mean,latency_ms_std,energy_mean,energy_std,dm_pct_mean,dm_pct_max,decision_ms,welch_t,p_value,cohens_d
CommNet-inspired,100,30.08939494293622,0.7901523853499156,504.00879965834156,17.804098997105662,33458.51103720406,14.910543681289594,0.0628007719717557,0.1953125,0.012552053278890883,14.927259778617904,8.344149758596497e-08,6.675673516557619
D-MAPPO-ABC,100,38.443358806218896,4.422284779117274,21.132991757609872,4.141199052519724,33019.37445872949,2.8256179689858563,0.0,0.0,0.10063134305927728,,,
FADDEER (attention),100,30.414206604276544,0.6590897417181494,501.10166027304615,18.486399040966397,33459.357263549275,13.564472089025085,0.056937482286868894,0.19691499835904,,14.324142842554394,1.1291869787948459e-07,6.405951423073739
Greedy,100,30.1703984773987,0.7730311745479834,504.0154998258457,17.808876862362297,33458.469310873596,14.912425415950048,0.0631357803469651,0.1953125,0.0010790261072461862,14.776420792164428,8.978290780614085e-08,6.608216271084191
IPPO,100,19.31683338834422,2.5386556250042647,503.5824467860676,17.804691147842515,33458.38357495519,14.792204213967052,0.059010945936204394,0.19486846378694,0.002166141284639359,32.061840989831715,8.864259750228609e-13,14.338491187410572
Load-Aware WRR,100,27.479373928266387,0.817522329976244,503.87354417266386,17.825432667486766,33459.375290683725,15.035373402349478,0.057794520528072595,0.1953125,0.002480301669048511,19.630769159004664,7.83157837719296e-09,8.779146858028161
MADDPG-inspired,100,-2021.8582065204205,80.38282398127627,443.3430872572153,17.070974836769413,33378.97787193759,12.895132554012125,0.052255485179376115,0.22701475595913,0.01504433692617259,398.66827519565476,7.878757963982525e-21,178.28987276201548
Pure MAPPO,100,43.0310157331542,0.9591278229673592,20.31079765880757,4.316343746863152,33018.68981026215,2.7939761350877097,0.0006637544700763001,0.03388681802778,0.09346405310231297,-8.198507133393559,1.5040863384716672e-05,-3.6664838528569863
QMIX-inspired,100,-581.3594588262977,134.14773362532912,498.493067004487,18.16856651052743,33465.39694132103,21.47865477600749,0.0654208058208564,0.26481297583581004,0.026347611419364973,70.64603110594952,9.476995847349095e-14,31.593865578693546
Random,100,-2027.8934454297514,91.60600963270016,442.9818386850126,17.284891188855035,33378.67910191635,13.089984947435914,0.0528027687795606,0.18782870022539,0.001676629843051208,180.23559410270494,2.1716815973801972e-17,80.60380807574171
Round-Robin,100,-1293.4626721313343,27.90806606099676,455.9106175868344,17.496198329812096,33423.60559501594,14.782460220777384,0.0466673355404633,0.20668274199104,0.00026462644919062096,543.3122649676334,1.2620562725093455e-23,242.97663149540114
Single Policy,50,42.94141128118651,0.9872663473510452,20.81530593250028,4.068768570131466,33018.949901622145,2.605339333173193,0.0,0.0,0.0312640321870114,-7.85737719445937,1.2736326722335098e-05,-3.5139259063335473
Wang et al. (hybrid actions),100,-18.135985208946398,3.922226067834495,112.72892834006171,17.920911162446224,33106.72309036194,16.999744108761266,0.0036742974314566,0.03401360544217,,83.13122202419522,8.969924993534034e-23,37.17741269974564
Zhao et al. (MARL-ABC),100,-244.0508827489496,47.26935801979531,305.75929964222195,83.99318730696015,33280.384823549466,75.87129892306834,0.0486933012693219,0.23972602739725998,,49.931342606446535,1.7200456160463755e-12,22.3299752551692
w/o Onlooker,50,40.023822282115674,0.9635732651323187,119.87765692172327,9.215644583630842,33091.214744281526,5.046348925431528,0.0099916518190556,0.06495615459564,0.03095485715732336,-2.7479527049354187,0.02001963573624475,-1.2289218094380034
w/o Scout,50,42.91856303159103,0.9967340990110369,21.4608900237939,4.771812335137267,33019.52076998673,3.081050250230186,0.0006777363605556,0.03388681802778,0.050505229312531964,-7.794253353574574,1.280671639777531e-05,-3.48569606648969
